2026-04-12 17:54:31.432 [info] Mapped {/common/upload/chunk/result, GET} route
2026-04-12 17:54:31.432 [info] Mapped {/common/upload/cos/authorization, GET} route
2026-04-12 17:54:31.432 [info] Mapped {/system/config, POST} route
2026-04-12 17:54:31.432 [info] Mapped {/system/config/list, GET} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config/:id, GET} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config/configKey/:id, GET} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config, PUT} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config/refreshCache, DELETE} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config/:id, DELETE} route
2026-04-12 17:54:31.433 [info] Mapped {/system/config/export, POST} route
2026-04-12 17:54:31.433 [info] Mapped {/system/dept, POST} route
2026-04-12 17:54:31.433 [info] Mapped {/system/dept/list, GET} route
2026-04-12 17:54:31.433 [info] Mapped {/system/dept/:id, GET} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dept/list/exclude/:id, GET} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dept, PUT} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dept/:id, DELETE} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type, POST} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type/refreshCache, DELETE} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type/:id, DELETE} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type, PUT} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type/list, GET} route
2026-04-12 17:54:31.434 [info] Mapped {/system/dict/type/optionselect, GET} route
2026-04-12 17:54:31.435 [info] Mapped {/system/dict/type/:id, GET} route
2026-04-12 17:54:31.435 [info] Mapped {/system/dict/data, POST} route
2026-04-12 17:54:31.435 [info] Mapped {/system/dict/data/:id, DELETE} route
2026-04-12 17:54:31.435 [info] Mapped {/system/dict/data, PUT} route
2026-04-12 17:54:31.435 [info] Mapped {/system/dict/data/list, GET} route
2026-04-12 17:54:31.436 [info] Mapped {/system/dict/data/type/:id, GET} route
2026-04-12 17:54:31.436 [info] Mapped {/system/dict/data/:id, GET} route
2026-04-12 17:54:31.437 [info] Mapped {/system/dict/type/export, POST} route
2026-04-12 17:54:31.438 [info] Mapped {/system/dict/data/export, POST} route
2026-04-12 17:54:31.439 [info] Mapped {/system/menu, POST} route
2026-04-12 17:54:31.439 [info] Mapped {/system/menu/list, GET} route
2026-04-12 17:54:31.439 [info] Mapped {/system/menu/treeselect, GET} route
2026-04-12 17:54:31.440 [info] Mapped {/system/menu/roleMenuTreeselect/:menuId, GET} route
2026-04-12 17:54:31.440 [info] Mapped {/system/menu/:menuId, GET} route
2026-04-12 17:54:31.440 [info] Mapped {/system/menu, PUT} route
2026-04-12 17:54:31.440 [info] Mapped {/system/menu/:menuId, DELETE} route
2026-04-12 17:54:31.441 [info] Mapped {/system/notice, POST} route
2026-04-12 17:54:31.441 [info] Mapped {/system/notice/list, GET} route
2026-04-12 17:54:31.442 [info] Mapped {/system/notice/:id, GET} route
2026-04-12 17:54:31.442 [info] Mapped {/system/notice, PUT} route
2026-04-12 17:54:31.442 [info] Mapped {/system/notice/:id, DELETE} route
2026-04-12 17:54:31.443 [info] Mapped {/system/post, POST} route
2026-04-12 17:54:31.443 [info] Mapped {/system/post/list, GET} route
2026-04-12 17:54:31.443 [info] Mapped {/system/post/:id, GET} route
2026-04-12 17:54:31.444 [info] Mapped {/system/post, PUT} route
2026-04-12 17:54:31.444 [info] Mapped {/system/post/:ids, DELETE} route
2026-04-12 17:54:31.444 [info] Mapped {/system/post/export, POST} route
2026-04-12 17:54:31.445 [info] Mapped {/system/role, POST} route
2026-04-12 17:54:31.445 [info] Mapped {/system/role/list, GET} route
2026-04-12 17:54:31.445 [info] Mapped {/system/role/:id, GET} route
2026-04-12 17:54:31.445 [info] Mapped {/system/role, PUT} route
2026-04-12 17:54:31.445 [info] Mapped {/system/role/changeStatus, PUT} route
2026-04-12 17:54:31.446 [info] Mapped {/system/role/:id, DELETE} route
2026-04-12 17:54:31.446 [info] Mapped {/system/role/authUser/allocatedList, GET} route
2026-04-12 17:54:31.446 [info] Mapped {/system/role/authUser/unallocatedList, GET} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/authUser/cancel, PUT} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/authUser/cancelAll, PUT} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/authUser/selectAll, PUT} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/export, POST} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/dataScope/:id, GET} route
2026-04-12 17:54:31.447 [info] Mapped {/system/role/dataScope, PUT} route
2026-04-12 17:54:31.447 [info] Mapped {/tool/gen/list, GET} route
2026-04-12 17:54:31.447 [info] Mapped {/tool/gen/db/list, GET} route
2026-04-12 17:54:31.447 [info] Mapped {/tool/gen/importTable, POST} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen/synchDb/:tableName, GET} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen/:id, GET} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen, PUT} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen/:id, DELETE} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen/batchGenCode/zip, GET} route
2026-04-12 17:54:31.448 [info] Mapped {/tool/gen/preview/:id, GET} route
2026-04-12 17:54:31.448 [info] Mapped {/system/user/profile, GET} route
2026-04-12 17:54:31.448 [info] Mapped {/system/user/profile, PUT} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/profile/avatar, POST} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/profile/updatePwd, PUT} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user, POST} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/list, GET} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/deptTree, GET} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user, GET} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/authRole/:id, GET} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/authRole, PUT} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/:userId, GET} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/changeStatus, PUT} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user, PUT} route
2026-04-12 17:54:31.449 [info] Mapped {/system/user/resetPwd, PUT} route
2026-04-12 17:54:31.450 [info] Mapped {/system/user/:id, DELETE} route
2026-04-12 17:54:31.450 [info] Mapped {/system/user/export, POST} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region, POST} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region/list, GET} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region/province-list, GET} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region/city-list, GET} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region/:id, GET} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region, PUT} route
2026-04-12 17:54:31.450 [info] Mapped {/system/region/:id, DELETE} route
2026-04-12 17:54:31.450 [info] Mapped {/system/shipping-template, POST} route
2026-04-12 17:54:31.450 [info] Mapped {/system/shipping-template, PUT} route
2026-04-12 17:54:31.451 [info] Mapped {/system/shipping-template/list, GET} route
2026-04-12 17:54:31.451 [info] Mapped {/system/shipping-template/enums, GET} route
2026-04-12 17:54:31.452 [info] Mapped {/system/shipping-template/:shippingTemplateId, GET} route
2026-04-12 17:54:31.452 [info] Mapped {/system/shipping-template/:shippingTemplateId, DELETE} route
2026-04-12 17:54:31.452 [info] Mapped {/system/express/list, GET} route
2026-04-12 17:54:31.452 [info] Mapped {/monitor/job/list, GET} route
2026-04-12 17:54:31.452 [info] Mapped {/monitor/job/:jobId, GET} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job, POST} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job/changeStatus, PUT} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job, PUT} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job/:jobIds, DELETE} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job/run, PUT} route
2026-04-12 17:54:31.453 [info] Mapped {/monitor/job/export, POST} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/jobLog/list, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/jobLog/clean, DELETE} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/jobLog/export, POST} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/server, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/getNames, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/getKeys/:id, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/getValue/:cacheName/:cacheKey, GET} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/clearCacheName/:cacheName, DELETE} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/clearCacheKey/:cacheKey, DELETE} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/cache/clearCacheAll, DELETE} route
2026-04-12 17:54:31.454 [info] Mapped {/monitor/logininfor/list, GET} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/logininfor/clean, DELETE} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/logininfor/:id, DELETE} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/logininfor/export, POST} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/online/list, GET} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/online/:token, DELETE} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/operlog/clean, DELETE} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/operlog/list, GET} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/operlog/:operId, GET} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/operlog/:operId, DELETE} route
2026-04-12 17:54:31.455 [info] Mapped {/monitor/operlog/export, POST} route
2026-04-12 17:54:31.456 [info] Mapped {/goods/category, POST} route
2026-04-12 17:54:31.457 [info] Mapped {/goods/category/list, GET} route
2026-04-12 17:54:31.457 [info] Mapped {/goods/category/tree, GET} route
2026-04-12 17:54:31.457 [info] Mapped {/goods/category/:categoryId, GET} route
2026-04-12 17:54:31.457 [info] Mapped {/goods/category, PUT} route
2026-04-12 17:54:31.457 [info] Mapped {/goods/category/:categoryId, DELETE} route
2026-04-12 17:54:31.458 [info] Mapped {/goods/craftsmanship, POST} route
2026-04-12 17:54:31.458 [info] Mapped {/goods/craftsmanship/list, GET} route
2026-04-12 17:54:31.458 [info] Mapped {/goods/craftsmanship/:craftsmanshipId, GET} route
2026-04-12 17:54:31.458 [info] Mapped {/goods/craftsmanship, PUT} route
2026-04-12 17:54:31.459 [info] Mapped {/goods/craftsmanship/:craftsmanshipId, DELETE} route
2026-04-12 17:54:31.459 [info] Mapped {/goods/class, POST} route
2026-04-12 17:54:31.460 [info] Mapped {/goods/class/list, GET} route
2026-04-12 17:54:31.460 [info] Mapped {/goods/class/:classId, GET} route
2026-04-12 17:54:31.460 [info] Mapped {/goods/class, PUT} route
2026-04-12 17:54:31.461 [info] Mapped {/goods/class/:classId, DELETE} route
2026-04-12 17:54:39.264 [info] Mapped {/login, POST} route
2026-04-12 17:54:39.264 [info] Mapped {/logout, POST} route
2026-04-12 17:54:39.264 [info] Mapped {/register, POST} route
2026-04-12 17:54:39.266 [info] Mapped {/registerUser, GET} route
2026-04-12 17:54:39.267 [info] Mapped {/captchaImage, GET} route
2026-04-12 17:54:39.267 [info] Mapped {/getInfo, GET} route
2026-04-12 17:54:39.267 [info] Mapped {/getRouters, GET} route
2026-04-12 17:54:39.268 [info] Mapped {/common/upload, POST} route
2026-04-12 17:54:39.268 [info] Mapped {/common/upload/chunk/uploadId, GET} route
2026-04-12 17:54:39.268 [info] Mapped {/common/upload/chunk, POST} route
